id,genre,track_name,artist_name,valence,energy
1EzrEOXmMH3G43AXT1y7pA,acoustic,I'm Yours,Jason Mraz,0.718,0.457
0wplliChn9Ikt3n9XoXt1S,acoustic,Dream Catch Me,Newton Faulkner,0.58,0.722
3AJwUDP919kvQ9QcozQPxg,acoustic,Yellow,Coldplay,0.285,0.661
71O1jD7bF3cdMPvPi186V6,acoustic,I Will Wait,Mumford & Sons,0.429,0.776
6jQlAObMMtULuYctlVjCLg,acoustic,No Aphrodisiac - Original,The Whitlams,0.636,0.607
2FeUZsmNGWc3No6v9GCdST,acoustic,"Piazza, New York Catcher",Belle & Sebastian,0.82,0.309
6akbXZeXdrWWsG77ZD3cuD,acoustic,Believe,Justin Bieber,0.508,0.847
75GH9Pb5ld8Z8hr7ARL2Pw,acoustic,Casimir Pulaski Day,Sufjan Stevens,0.563,0.172
2FGb3gJbKToDII7q6Kfp4i,acoustic,I'm Yours,Ron Pope,0.866,0.553
6mFzy1Jha9RSCcQAJZ1M6y,acoustic,Gangnam Style,Jayesslee,0.591,0.391
4AFBHrMN93QKtyQP5Pmz1t,acoustic,Perfect,Various Artists,0.598,0.432
6G0MfBXF1QlLpgP8pKngzs,acoustic,Shoreline - Radio Version,Anna Ternheim,0.201,0.108
4chSOYRiaa7pYZkWljsrMr,acoustic,O Sleep,Lisa Hannigan,0.138,0.36
6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,0.168,0.44
4Y1ZvAbetcpZsmedL9uhmR,acoustic,"Next To Me - Live From Spotify NYC, USA/2012",Emeli Sandé,0.294,0.397
4KSZnP1VFSaytKufyzNbDO,acoustic,The Power of Love,Gabrielle Aplin,0.214,0.297
2hKdd3qO7cWr2Jo0Bcs0MA,acoustic,Drops of Jupiter (Tell Me),Train,0.497,0.638
25J4d78ESH2MgAJoIakB8O,acoustic,Lost In The Light,Bahamas,0.246,0.267
6wZI4mdT8JwXgkGURnBQiq,acoustic,Say,John Mayer,0.541,0.723
60llRR1nZqjqGeUmfq700K,acoustic,Beneath Your Beautiful - Live at Spotify Amsterdam,Passenger,0.286,0.0602
3kw7Zlhj7Qc2NGq5NDFRTg,acoustic,They Ain't The Same,Keegan DeWitt,0.35,0.248
2bbhyUWJ5VjdfI3P4PRLu2,acoustic,Samson,Regina Spektor,0.184,0.193
3GEKqgBUD2WQIsuVBv9rU0,acoustic,American Boy - Radio 1 Live Lounge,Sam Sparro,0.637,0.564
1CbPLR6Xjo2nc0Pf13N0RS,acoustic,Pink Moon,Nick Drake,0.446,0.255
37z3ghNvcoPvHypKWTb2Sz,acoustic,Left for America,Ciaran Lavery,0.25,0.384
5ZzaWzLT7KjRUhtMra8uJm,acoustic,Cradlesong,Soap&Skin,0.218,0.16
4z1O25cq9g2kuJemmUxc21,acoustic,Small Bump,Ed Sheeran,0.446,0.436
5Gtn8HgCAo0TUiaKKgP6us,acoustic,Down in the Valley,The Head And The Heart,0.149,0.403
2APaWLyP3drx0CIodMhKHd,acoustic,Hey Ya!,The Blanks,0.293,0.262
0O36Yqb2aFcThBphczYoAY,acoustic,A Drop In The Ocean,Ron Pope,0.473,0.452
5kO4wyANOoJGN82HGrxbrW,acoustic,Young Folks,ortoPilot,0.411,0.399
38YgZVHPWOWsKrsCXz6JyP,acoustic,Come On Get Higher,Matt Nathanson,0.617,0.623
1KqlVt63Q4bl1VdSlymr5C,acoustic,Riptide,Vance Joy,0.51,0.731
6ERQqdIkr7Rp4tt52Eep6r,acoustic,The Look Of Love,Diana Krall,0.366,0.266
51jy98I9q9Nk1xyA0W4ZBg,acoustic,"If You've Gotta Go, Go Now - Bonus Track",Various Artists,0.325,0.217
6cc4XOqrB8qibHbAymBPSH,acoustic,"Clarity - Live at Blossom Music Center, Cleveland, Ohio, August 3, 2004",John Mayer,0.361,0.857
7noCkklUhEAoj8GJkbAuHq,acoustic,All of Me,Boyce Avenue,0.308,0.209
3pRRYcXy3Z0PsAa8griSoF,acoustic,"Dog Days Are Over - MTV Unplugged, 2012",Florence + The Machine,0.271,0.534
1JDMO4EVPHtm0xXhJb2IjR,acoustic,Youth,Daughter,0.488,0.477
5jclmAX2XQp5G3b6K30UJl,acoustic,Clairvoyant,The Story So Far,0.137,0.352
0eG5CqXwJpa5MBjYyg1lRm,acoustic,Slide,The Goo Goo Dolls,0.471,0.845
5NTA3dsB2DlLaSG1KM6RTh,acoustic,The River,Bruce Springsteen,0.594,0.554
1KEMFdqpHnQODPxV6Il3rV,acoustic,Drifting,Andy McKee,0.745,0.568
3h7fGy7n9xhS1PupWW9vJ9,acoustic,We Are Young,Kurt Hugo Schneider,0.486,0.814
70zapGEw5KQiHBhjNcGjzo,acoustic,Little Hell,City and Colour,0.186,0.415
1KHGSJPHiHkG2FEGFy8fLc,acoustic,Pompeii,Jasmine Thompson,0.428,0.229
0FRoVng8IZZoS0ATxIgvuH,acoustic,"Gravity - Live at the House of Blues, Chicago, Illinois, September 22, 2005",John Mayer Trio,0.477,0.344
2nMeu6UenVvwUktBCpLMK9,acoustic,Young And Beautiful,Lana Del Rey,0.151,0.416
10ViidwjGLCfVtGPfdcszR,acoustic,Home,Edward Sharpe & The Magnetic Zeros,0.127,0.59
7z7fquRFQFXt4Dj7ouWETq,acoustic,Hey There Delilah,Plain White T's,0.304,0.373
7bcP9k51f1VNCaFUyZ3P5M,acoustic,Life for Rent,Dido,0.159,0.533
22gLGCKbFKwmgZhrpVcnFb,acoustic,Fields Of Gold,Sting,0.291,0.344
1SZ63wN0pk18Dr4Epyhcsf,acoustic,Tainted Love,Hannah Peel,0.437,0.192
6d0wEqM0jJTNv1asKflGGi,acoustic,Take Me to Church - Live From Spotify London,Hozier,0.287,0.217
1w3ybWVQiP47fu00GRlFHb,acoustic,Old Pine - Spotify - Rockfeedback Session,Ben Howard,0.3,0.334
7fXyuQqEBwpKtCa8PomO7B,acoustic,Skinny Love,Bon Iver,0.112,0.26
65n5737O8JVOzgy8wQawyi,acoustic,All That Matters,Justin Bieber,0.17,0.521
2ihCaVdNZmnHZWt0fvAM7B,acoustic,Little Talks,Of Monsters and Men,0.417,0.757
5Szn0p3DlnawyuhX8ULCg4,acoustic,Orange Sky,Alexi Murdoch,0.125,0.15
74XzT6sJuCIw0Py539SNQR,acoustic,"A Girl, a Boy, and a Graveyard",jeremy messersmith,0.457,0.136
3gSvJ7SBbRVyJWuw7gWWc8,acoustic,Two Is Better Than One,Tyler Ward,0.249,0.369
13yEuYLJYxPCLJR0KNOqpk,acoustic,High,James Blunt,0.446,0.602
4gIKec1woB9bIWIG8K7SZn,acoustic,I Won't Let You Go,James Morrison,0.161,0.602
78xbGcjmm02TCbhsMJsuUn,acoustic,In the Morning,Keaton Henson,0.227,0.17
24rFwAcC6eqPvyMuPynVGH,acoustic,Home / Dirty Paws,Gardiner Sisters,0.232,0.208
3xEP8kzYIjbkUrjfsgn8Hh,acoustic,Common Denominator - iTunes Bonus,Justin Bieber,0.45,0.66
5z1vCywwTJAP8qSkGJymFY,acoustic,Creep - Live,Korn,0.236,0.534
3KZG39hHZiQrxFGLUaeWPb,acoustic,Distant Sun,Various Artists,0.331,0.611
4OfjX48ZacUS6Noi2KIXbS,acoustic,Rolling In The Deep (Acapella),Adele,0.476,0.142
1mgrAR1eIxghtjZUP9uBIh,acoustic,Born This Way,Ulrik Munther,0.837,0.41
6jdNp4oX1y3iwXibaXxWph,acoustic,Counting Stars / The Monster (feat. Carly Rose Sonenclar),Boyce Avenue,0.44,0.44
4I1BlAeZK4UBSCKoaz8vQS,acoustic,If I Had a Boat,James Vincent McMorrow,0.179,0.295
